timestamp,cpu_percent,memory_percent,swap_percent,disk_usage_percent,disk_read_bytes_delta,disk_write_bytes_delta,disk_read_count_delta,disk_write_count_delta,bytes_sent_delta,bytes_recv_delta,packets_sent_delta,packets_recv_delta,process_count,new_processes,new_unique_processes,tcp_total,tcp_established,tcp_time_wait,tcp_close_wait,tcp_listen,hour,weekday
2026-08-08 18:00:34,4.2,48.4,3.7,23.4,18,5,1286144,262144,34,9,0,0,0,0,184,0,0,23,0,2,0,21
2026-08-08 18:00:39,3.8,48.4,3.7,23.4,18,5,0,458752,0,23,0,0,0,0,184,0,0,21,0,0,0,21
2026-08-08 18:00:44,3.6,48.4,3.7,23.4,18,5,0,561152,0,17,0,0,0,0,184,0,0,21,0,0,0,21
2026-08-08 18:00:49,4.0,48.4,3.7,23.4,18,5,0,323584,0,12,0,0,0,0,184,0,0,21,0,0,0,21
2026-08-08 18:00:54,3.8,48.3,3.7,23.4,18,5,0,430080,0,21,0,0,0,0,184,0,0,21,0,0,0,21
2026-08-08 18:00:59,3.3,48.3,3.7,23.4,18,5,61440,417792,1,14,0,0,0,0,184,0,0,21,0,0,0,21
2026-08-08 18:01:04,3.6,48.2,3.7,23.4,18,5,0,368640,0,19,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:09,4.3,48.2,3.7,23.4,18,5,65536,544768,2,20,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:14,3.9,48.3,3.7,23.4,18,5,65536,385024,1,20,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:19,4.1,48.2,3.7,23.4,18,5,28672,462848,1,24,42,60,1,1,183,0,0,21,0,0,0,21
2026-08-08 18:01:24,4.0,48.2,3.7,23.4,18,5,16384,434176,1,16,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:29,4.7,48.3,3.7,23.4,18,5,65536,491520,1,23,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:34,4.3,48.2,3.7,23.4,18,5,0,442368,0,20,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:39,3.8,48.3,3.7,23.4,18,5,49152,425984,2,24,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:44,4.0,48.0,3.7,23.4,18,5,0,495616,0,26,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:49,5.6,48.0,3.7,23.4,18,5,0,471040,0,25,0,0,0,0,183,0,0,21,0,0,0,21
2026-08-08 18:01:55,19.7,49.2,3.7,23.4,18,5,49248768,1671680,1005,135,0,0,0,0,188,5,3,21,0,0,0,21
2026-08-08 18:02:00,6.3,48.7,3.7,23.4,18,5,2764800,6561792,161,619,0,0,0,0,188,0,0,21,0,0,0,21
2026-08-08 18:02:05,5.0,48.7,3.7,23.4,18,5,2532352,930304,95,65,0,0,0,0,187,0,0,21,0,0,0,21
2026-08-08 18:02:10,5.0,48.4,3.7,23.4,18,5,843776,1048576,30,133,0,0,0,0,186,0,0,21,0,0,0,21
